Carimbo de data/hora (createdAt),Selecione o Piloto  (pilotId),Selecione a Fazenda (farmId),Nome do Mapa (observation) (plotId=null),Empresa (customerID),Area aplicada (Corrigida),Quantos hectares aplicados?,Selecione o dia da aplicação: (date application),Qual foi o tipo de aplicação? (productId),Selecione o seu ajudante: (assistantId),Tipo de cultura (culture-typeId),Qual drone utilizado?,Período de safra (contractId),,,,,,,,
16/06/2025 19:41,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55-T62,3356f421-3a87-4566-9c0f-8154abf98a14,3.1,3.1,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 19:42,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55-T05,3356f421-3a87-4566-9c0f-8154abf98a14,2.1,2.1,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 19:45,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55T71,3356f421-3a87-4566-9c0f-8154abf98a14,2.9,2.9,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 21:16,fd3fa4b5-d6b9-4e57-80a4-5c76aaded968,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T16,3356f421-3a87-4566-9c0f-8154abf98a14,5.77,5.77,16/06/2025,cb0e2f67-bbaf-4e4d-b446-68ac68f44408,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,9e56dd06-8d1b-4b50-96d9-05414d5a79e8,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 21:26,fd3fa4b5-d6b9-4e57-80a4-5c76aaded968,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T15,3356f421-3a87-4566-9c0f-8154abf98a14,1.13,1.13,16/06/2025,cb0e2f67-bbaf-4e4d-b446-68ac68f44408,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,9e56dd06-8d1b-4b50-96d9-05414d5a79e8,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 23:49,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,2494ce21-b721-4607-bef3-b7162c80df96,E58-T58,3356f421-3a87-4566-9c0f-8154abf98a14,2.9,2.9,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 23:51,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55-T52,3356f421-3a87-4566-9c0f-8154abf98a14,1.3,1.3,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 23:53,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55-T52,3356f421-3a87-4566-9c0f-8154abf98a14,1.2,1.2,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 23:55,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55-T52 ,3356f421-3a87-4566-9c0f-8154abf98a14,0.6,0.6,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 01:09,fd3fa4b5-d6b9-4e57-80a4-5c76aaded968,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T20,3356f421-3a87-4566-9c0f-8154abf98a14,6.75,6.75,17/06/2025,cb0e2f67-bbaf-4e4d-b446-68ac68f44408,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,9e56dd06-8d1b-4b50-96d9-05414d5a79e8,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 01:21,6322425e-1079-42ab-9130-2c9e6489db9f,f063ce32-1144-43e6-87cc-77899c6d6d15,JB 16,3356f421-3a87-4566-9c0f-8154abf98a14,7.5,7.5,17/06/2025,cb0e2f67-bbaf-4e4d-b446-68ac68f44408,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,04627060-190e-4b84-afe1-4c1301f02862,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
